epoch,train_loss,train_recon_loss,train_cls_loss_real,train_cls_acc_real,val_loss,val_mse,val_mae,val_pearson,val_nonzero_mse,val_degraded_mse,val_degraded_mlp_acc,val_recon_mlp_acc,best_val_mse,is_best,eval_scope
1,0.20301234424114228,0.20301234424114228,0.0,0.0,0.09099306166172028,0.11663223803043365,0.3374870717525482,-0.009494747035205364,0.11663223803043365,0.12248431891202927,0.43478260869565216,0.2608695652173913,0.11663223803043365,True,real-only
2,0.06869294792413712,0.06869294792413712,0.0,0.0,0.04001636058092117,0.04001568630337715,0.19525951147079468,-0.029225917533040047,0.04001568630337715,0.041614267975091934,0.43478260869565216,0.2608695652173913,0.04001568630337715,True,real-only
3,0.035766123235225676,0.035766123235225676,0.0,0.0,0.02639514859765768,0.02071334607899189,0.1343855857849121,-0.005022089462727308,0.02071334607899189,0.021596528589725494,0.43478260869565216,0.2608695652173913,0.02071334607899189,True,real-only
4,0.02544499598443508,0.02544499598443508,0.0,0.0,0.021595225669443607,0.013992301188409328,0.1031871810555458,0.011215775273740292,0.013992301188409328,0.014878710731863976,0.43478260869565216,0.2608695652173913,0.013992301188409328,True,real-only
5,0.02169879786670208,0.02169879786670208,0.0,0.0,0.019768893718719482,0.011137086898088455,0.08551522344350815,0.023079032078385353,0.011137086898088455,0.012085454538464546,0.43478260869565216,0.2608695652173913,0.011137086898088455,True,real-only
6,0.019656069949269293,0.019656069949269293,0.0,0.0,0.01908598281443119,0.009757183492183685,0.07488470524549484,0.04109392687678337,0.009757183492183685,0.010743516497313976,0.43478260869565216,0.2608695652173913,0.009757183492183685,True,real-only
7,0.019095295667648317,0.019095295667648317,0.0,0.0,0.018911690451204777,0.008997556753456593,0.068047434091568,0.06805288791656494,0.008997556753456593,0.010005510412156582,0.43478260869565216,0.2608695652173913,0.008997556753456593,True,real-only
8,0.018497493863105775,0.018497493863105775,0.0,0.0,0.01888672634959221,0.008558896370232105,0.06358102709054947,0.10503734648227692,0.008558896370232105,0.009578700177371502,0.43478260869565216,0.2608695652173913,0.008558896370232105,True,real-only
9,0.01880386359989643,0.01880386359989643,0.0,0.0,0.01890228595584631,0.008290034718811512,0.06057517230510712,0.14407315850257874,0.008290034718811512,0.009317157790064812,0.43478260869565216,0.2608695652173913,0.008290034718811512,True,real-only
10,0.01982138119637966,0.01982138119637966,0.0,0.0,0.01892564818263054,0.008120779879391193,0.058576542884111404,0.18636034429073334,0.008120779879391193,0.009151886217296124,0.43478260869565216,0.2608695652173913,0.008120779879391193,True,real-only
11,0.019008615240454673,0.019008615240454673,0.0,0.0,0.018934275954961777,0.008023488335311413,0.05743785575032234,0.23457425832748413,0.008023488335311413,0.009055203758180141,0.43478260869565216,0.2608695652173913,0.008023488335311413,True,real-only
12,0.01856587491929531,0.01856587491929531,0.0,0.0,0.01892691757529974,0.007967465557157993,0.05684807151556015,0.28590908646583557,0.007967465557157993,0.008996772579848766,0.43478260869565216,0.2608695652173913,0.007967465557157993,True,real-only
13,0.01944379471242428,0.01944379471242428,0.0,0.0,0.018901079893112183,0.007940112613141537,0.05666688457131386,0.3377297520637512,0.007940112613141537,0.008964857086539268,0.43478260869565216,0.2608695652173913,0.007940112613141537,True,real-only
14,0.01906179003417492,0.01906179003417492,0.0,0.0,0.018861543387174606,0.007930250838398933,0.05675055459141731,0.3875481188297272,0.007930250838398933,0.008948428556323051,0.43478260869565216,0.2608695652173913,0.007930250838398933,True,real-only
15,0.01861927770078182,0.01861927770078182,0.0,0.0,0.01880761608481407,0.007937529124319553,0.05709530785679817,0.4340418577194214,0.007937529124319553,0.008945950306952,0.43478260869565216,0.2608695652173913,0.007930250838398933,False,real-only
16,0.018649915233254433,0.018649915233254433,0.0,0.0,0.018743119202554226,0.007957343012094498,0.05762737616896629,0.4751366376876831,0.007957343012094498,0.008954835124313831,0.43478260869565216,0.2608695652173913,0.007930250838398933,False,real-only
17,0.01957854740321636,0.01957854740321636,0.0,0.0,0.018675577826797962,0.007980340160429478,0.05821353942155838,0.5101854205131531,0.007980340160429478,0.008965836837887764,0.43478260869565216,0.2608695652173913,0.007930250838398933,False,real-only
18,0.01896536014974117,0.01896536014974117,0.0,0.0,0.01859326846897602,0.008023208938539028,0.05910288915038109,0.5418077111244202,0.008023208938539028,0.008993488736450672,0.43478260869565216,0.2608695652173913,0.007930250838398933,False,real-only
19,0.018348654732108116,0.018348654732108116,0.0,0.0,0.018499000929296017,0.008072439581155777,0.06010226905345917,0.5697665810585022,0.008072439581155777,0.009025421924889088,0.43478260869565216,0.2608695652173913,0.007930250838398933,False,real-only
20,0.01824915036559105,0.01824915036559105,0.0,0.0,0.01840009167790413,0.00811141449958086,0.060987528413534164,0.5934687852859497,0.00811141449958086,0.009048128500580788,0.43478260869565216,0.2608695652173913,0.007930250838398933,False,real-only
21,0.018543148413300514,0.018543148413300514,0.0,0.0,0.018334529362618923,0.008060155436396599,0.06074233725667,0.614967405796051,0.008060155436396599,0.008996776305139065,0.43478260869565216,0.2608695652173913,0.007930250838398933,False,real-only
22,0.01825745664536953,0.01825745664536953,0.0,0.0,0.018262313678860664,0.007986960001289845,0.06029314920306206,0.6359583735466003,0.007986960001289845,0.008924244903028011,0.43478260869565216,0.2608695652173913,0.007930250838398933,False,real-only
23,0.017559871450066565,0.017559871450066565,0.0,0.0,0.01816337089985609,0.007912745699286461,0.059964898973703384,0.6562557816505432,0.007912745699286461,0.008843494579195976,0.43478260869565216,0.2608695652173913,0.007912745699286461,True,real-only
24,0.017910313978791236,0.017910313978791236,0.0,0.0,0.018044302240014076,0.00781973171979189,0.059543196111917496,0.6759384870529175,0.00781973171979189,0.008742346428334713,0.43478260869565216,0.2608695652173913,0.00781973171979189,True,real-only
25,0.017516005039215087,0.017516005039215087,0.0,0.0,0.017771445214748383,0.007848488166928291,0.061151280999183655,0.6919634342193604,0.007848488166928291,0.00873306579887867,0.43478260869565216,0.2608695652173913,0.00781973171979189,False,real-only
26,0.01744188368320465,0.01744188368320465,0.0,0.0,0.017431064508855343,0.007871880196034908,0.06298793107271194,0.7062592506408691,0.007871880196034908,0.008705010637640953,0.43478260869565216,0.2608695652173913,0.00781973171979189,False,real-only
27,0.017415226623415946,0.017415226623415946,0.0,0.0,0.017023399472236633,0.007784487679600716,0.06396087259054184,0.7217010259628296,0.007784487679600716,0.00855831615626812,0.43478260869565216,0.2608695652173913,0.007784487679600716,True,real-only
28,0.016782933473587038,0.016782933473587038,0.0,0.0,0.01648705266416073,0.007519348990172148,0.06366538256406784,0.7396209836006165,0.007519348990172148,0.008259876631200314,0.43478260869565216,0.2608695652173913,0.007519348990172148,True,real-only
29,0.016249280236661435,0.016249280236661435,0.0,0.0,0.015566418878734112,0.007257134187966585,0.06498792767524719,0.7535673975944519,0.007257134187966585,0.007925868034362793,0.43478260869565216,0.2608695652173913,0.007257134187966585,True,real-only
30,0.015300272405147553,0.015300272405147553,0.0,0.0,0.014108567032963037,0.0066538527607917786,0.06423766165971756,0.770355224609375,0.0066538527607917786,0.007310828659683466,0.43478260869565216,0.2608695652173913,0.0066538527607917786,True,real-only
31,0.014051242358982563,0.014051242358982563,0.0,0.0,0.011886173393577337,0.006169253960251808,0.06469640135765076,0.7828482985496521,0.006169253960251808,0.006829909048974514,0.43478260869565216,0.2608695652173913,0.006169253960251808,True,real-only
