epoch,train_loss,train_recon_loss,train_cls_loss_real,train_cls_acc_real,val_loss,val_mse,val_mae,val_pearson,val_nonzero_mse,val_degraded_mse,val_degraded_mlp_acc,val_recon_mlp_acc,best_val_mse,is_best,eval_scope
1,0.678891971707344,0.28182391449809074,13.235601902008057,0.3333333333333333,0.13440803438425064,0.1569480299949646,0.39383551478385925,0.02514663152396679,0.15776017308235168,0.1628625988960266,0.42857142857142855,0.3333333333333333,0.1569480299949646,True,real-only
2,0.47999079525470734,0.10410392843186855,12.52956223487854,0.3333333333333333,0.054864563047885895,0.05827341601252556,0.23944543302059174,-0.05463285744190216,0.058327607810497284,0.060393840074539185,0.42857142857142855,0.3333333333333333,0.05827341601252556,True,real-only
3,0.40509314090013504,0.050368281081318855,11.824162006378174,0.3333333333333333,0.030509859323501587,0.02772439457476139,0.1645609587430954,-0.07242748886346817,0.02768082544207573,0.02880277670919895,0.42857142857142855,0.3333333333333333,0.02772439457476139,True,real-only
4,0.37041813135147095,0.03144816868007183,11.298999309539795,0.3333333333333333,0.020770038478076458,0.016630586236715317,0.12649421393871307,-0.024121467024087906,0.01661422662436962,0.01752248778939247,0.42857142857142855,0.3333333333333333,0.016630586236715317,True,real-only
5,0.3517725318670273,0.022807236295193434,10.965510368347168,0.3333333333333333,0.01569022424519062,0.011237924918532372,0.10287811607122421,0.03713538497686386,0.011262763291597366,0.012104793451726437,0.42857142857142855,0.3333333333333333,0.011237924918532372,True,real-only
6,0.3372826911509037,0.018409208860248327,10.629116535186768,0.3333333333333333,0.01247170427814126,0.008063368499279022,0.08576926589012146,0.09488505870103836,0.008129081688821316,0.008940331637859344,0.42857142857142855,0.3333333333333333,0.008063368499279022,True,real-only
7,0.32804886996746063,0.015357890399172902,10.423032999038696,0.3333333333333333,0.01028868230059743,0.006072594318538904,0.07280907779932022,0.12969383597373962,0.006174225825816393,0.006979998201131821,0.42857142857142855,0.3333333333333333,0.006072594318538904,True,real-only
8,0.31555774435400963,0.013305444968864322,10.075076818466187,0.3333333333333333,0.008696039207279682,0.004724195692688227,0.062335800379514694,0.1352480798959732,0.004857020918279886,0.00566733255982399,0.42857142857142855,0.3333333333333333,0.004724195692688227,True,real-only
9,0.30761804804205894,0.011805127374827862,9.860430836677551,0.3333333333333333,0.007473769597709179,0.0037691891193389893,0.05350658670067787,0.12530574202537537,0.0039300015196204185,0.004754043184220791,0.42857142857142855,0.3333333333333333,0.0037691891193389893,True,real-only
10,0.2948497161269188,0.010649637086316943,9.473335981369019,0.3333333333333333,0.006538772024214268,0.003101481357589364,0.046157971024513245,0.11142496764659882,0.0032868757843971252,0.004126765299588442,0.42857142857142855,0.3333333333333333,0.003101481357589364,True,real-only
11,0.28959714993834496,0.009790922747924924,9.326874256134033,0.3333333333333333,0.005910252453759313,0.0026309541426599026,0.04008597880601883,0.10660942643880844,0.0028377727139741182,0.0036907081957906485,0.42857142857142855,0.3333333333333333,0.0026309541426599026,True,real-only
12,0.2822570353746414,0.009303028346039355,9.098467350006104,0.3333333333333333,0.005459154490381479,0.0022917375899851322,0.03493201732635498,0.10877764970064163,0.002517100190743804,0.003380188252776861,0.42857142857142855,0.3333333333333333,0.0022917375899851322,True,real-only
13,0.2781250849366188,0.009125311276875436,8.966659307479858,0.3333333333333333,0.005153143312782049,0.002048519207164645,0.03058929741382599,0.11594470590353012,0.002289782278239727,0.003160337219014764,0.42857142857142855,0.3333333333333333,0.002048519207164645,True,real-only
14,0.27108367159962654,0.008673129603266716,8.747018098831177,0.3333333333333333,0.004939298145473003,0.0018690660363063216,0.026751888915896416,0.12565530836582184,0.0021245675161480904,0.0030018151737749577,0.42857142857142855,0.3333333333333333,0.0018690660363063216,True,real-only
15,0.2588854059576988,0.008392041665501893,8.34977900981903,0.3333333333333333,0.004819129128009081,0.001745479879900813,0.023574143648147583,0.13653360307216644,0.002012901473790407,0.002895563142374158,0.42857142857142855,0.3333333333333333,0.001745479879900813,True,real-only
16,0.2534360997378826,0.008471080800518394,8.165501117706299,0.3333333333333333,0.004737465409561992,0.0016574618639424443,0.020816462114453316,0.15304172039031982,0.0019351416267454624,0.0028222627006471157,0.42857142857142855,0.3333333333333333,0.0016574618639424443,True,real-only
17,0.2396675981581211,0.008358889259397984,7.710290312767029,0.3333333333333333,0.004683969542384148,0.0015997125301510096,0.018665118142962456,0.17113737761974335,0.0018850095802918077,0.002773808781057596,0.42857142857142855,0.3333333333333333,0.0015997125301510096,True,real-only
18,0.23503952473402023,0.008111376198939979,7.564271926879883,0.3333333333333333,0.004648104775696993,0.001558903488330543,0.01700243167579174,0.19434715807437897,0.0018493123352527618,0.002736126072704792,0.42857142857142855,0.3333333333333333,0.001558903488330543,True,real-only
19,0.2240331619977951,0.0080597527557984,7.199113965034485,0.3333333333333333,0.004627520916983485,0.001526080654002726,0.015752101317048073,0.2222725749015808,0.0018187405075877905,0.0026975718792527914,0.42857142857142855,0.3333333333333333,0.001526080654002726,True,real-only
20,0.19858761876821518,0.008239371702075005,6.34494161605835,0.3333333333333333,0.004595894832164049,0.0014942333800718188,0.015192125923931599,0.25452321767807007,0.0017829140415415168,0.0026374394074082375,0.42857142857142855,0.3333333333333333,0.0014942333800718188,True,real-only
21,0.18583950214087963,0.008319560321979225,5.917331516742706,0.3333333333333333,0.004718138021416962,0.001475311117246747,0.01641233079135418,0.29461053013801575,0.0017438391223549843,0.002511837286874652,0.42857142857142855,0.3333333333333333,0.001475311117246747,True,real-only
22,0.1486098375171423,0.008386061526834965,4.674125909805298,0.3333333333333333,0.006091137882322073,0.0020727573428303003,0.022683462128043175,0.3251889646053314,0.0023324687499552965,0.0027759650256484747,0.42857142857142855,0.3333333333333333,0.001475311117246747,False,real-only
23,0.12118250876665115,0.011159777408465743,3.6674245595932007,0.2222222222222222,0.010481415316462517,0.005411539692431688,0.03056894615292549,0.3385036885738373,0.005909015890210867,0.005775946658104658,0.42857142857142855,0.2857142857142857,0.001475311117246747,False,real-only
24,0.10041923448443413,0.011473090620711446,2.9648714661598206,0.2698412698412698,0.006545200012624264,0.0023499608505517244,0.018307294696569443,0.3484453856945038,0.002634439617395401,0.002920369617640972,0.42857142857142855,0.3333333333333333,0.001475311117246747,False,real-only
25,0.09030190482735634,0.009945754194632173,2.678538501262665,0.2222222222222222,0.007165887858718634,0.0028403380420058966,0.019411535933613777,0.3389715552330017,0.003160672029480338,0.0033295792527496815,0.42857142857142855,0.2857142857142857,0.001475311117246747,False,real-only
26,0.07740334421396255,0.009784332942217588,2.2539670765399933,0.4126984126984127,0.005465966183692217,0.0016506632091477513,0.01365282479673624,0.33451539278030396,0.001911901985295117,0.002426380757242441,0.42857142857142855,0.23809523809523808,0.001475311117246747,False,real-only
27,0.06638833694159985,0.008901790482923388,1.9162182211875916,0.38095238095238093,0.005594432586804032,0.001741469488479197,0.0138734495267272,0.32626262307167053,0.0020089931786060333,0.0024955119006335735,0.42857142857142855,0.2857142857142857,0.001475311117246747,False,real-only
28,0.06855887454003096,0.009205701993778348,1.9784391224384308,0.31746031746031744,0.005391873302869499,0.0016282038995996118,0.012737156823277473,0.31774088740348816,0.001899534952826798,0.002465499099344015,0.42857142857142855,0.2857142857142857,0.001475311117246747,False,real-only
29,0.05839489679783583,0.009230464580468833,1.6388144195079803,0.2857142857142857,0.004770104656927288,0.0014295463915914297,0.009554202668368816,0.3044572174549103,0.0017198309069499373,0.002479177201166749,0.42857142857142855,0.2857142857142857,0.0014295463915914297,True,real-only
30,0.0536541398614645,0.008467956446111202,1.5062061250209808,0.30158730158730157,0.00470611616037786,0.0014351727440953255,0.008851113729178905,0.2960973083972931,0.0017355787567794323,0.0025395145639777184,0.42857142857142855,0.2857142857142857,0.0014295463915914297,False,real-only
31,0.052956038154661655,0.0084794363938272,1.482553482055664,0.31746031746031744,0.004801772767677903,0.0014534277142956853,0.009344867430627346,0.28714099526405334,0.0017506165895611048,0.0025313838850706816,0.42857142857142855,0.2857142857142857,0.0014295463915914297,False,real-only
32,0.04526296630501747,0.008543556090444326,1.223980337381363,0.3333333333333333,0.004738326882943511,0.0014573722146451473,0.008604016155004501,0.2812511920928955,0.0017652827082201838,0.0025938379112631083,0.42857142857142855,0.3333333333333333,0.0014295463915914297,False,real-only
33,0.047251006588339806,0.008583038812503219,1.2889322638511658,0.38095238095238093,0.004758168943226337,0.0014823524979874492,0.007932450622320175,0.2826155126094818,0.0018028070917353034,0.0026760781183838844,0.42857142857142855,0.3333333333333333,0.0014295463915914297,False,real-only
34,0.04962329659610987,0.008606095216237009,1.3672401010990143,0.25396825396825395,0.004827602533623576,0.001510485541075468,0.0075725382193923,0.28662142157554626,0.0018398837419226766,0.0027394334319978952,0.42857142857142855,0.3333333333333333,0.0014295463915914297,False,real-only
35,0.04621042311191559,0.008630573167465627,1.2526616752147675,0.36507936507936506,0.004786023520864546,0.0014969881158322096,0.007756643462926149,0.28177717328071594,0.0018219868652522564,0.0027094066608697176,0.42857142857142855,0.3333333333333333,0.0014295463915914297,False,real-only
36,0.04669476952403784,0.008646294241771102,1.268282562494278,0.3968253968253968,0.004758103750646114,0.0014807571424171329,0.008124914951622486,0.28415191173553467,0.0017988579347729683,0.002664702944457531,0.42857142857142855,0.3333333333333333,0.0014295463915914297,False,real-only
37,0.04952726420015097,0.008606394287198782,1.364029049873352,0.30158730158730157,0.004756154026836157,0.0014782821526750922,0.008259220980107784,0.287740558385849,0.0017943141283467412,0.002653268165886402,0.42857142857142855,0.3333333333333333,0.0014295463915914297,False,real-only
38,0.04506490100175142,0.008503928896971047,1.2186990976333618,0.2698412698412698,0.004753467161208391,0.001470027375034988,0.00847309548407793,0.2943645119667053,0.001781666767783463,0.002624905901029706,0.42857142857142855,0.3333333333333333,0.0014295463915914297,False,real-only
39,0.044115692377090454,0.008528639329597354,1.1862350702285767,0.38095238095238093,0.004746542777866125,0.0014731078408658504,0.008185313083231449,0.29658380150794983,0.0017889689188450575,0.0026498546358197927,0.42857142857142855,0.3333333333333333,0.0014295463915914297,False,real-only
