epoch,train_loss,train_recon_loss,train_cls_loss_real,train_cls_acc_real,val_loss,val_mse,val_mae,val_pearson,val_nonzero_mse,val_degraded_mse,val_degraded_mlp_acc,val_recon_mlp_acc,best_val_mse,is_best,eval_scope
1,0.6783203035593033,0.2811581715941429,13.238738298416138,0.3333333333333333,0.13530699163675308,0.15798118710517883,0.39516228437423706,0.016881825402379036,0.15860247611999512,0.16280174255371094,0.42857142857142855,0.3333333333333333,0.15798118710517883,True,real-only
2,0.4803347587585449,0.10426432453095913,12.53568148612976,0.3333333333333333,0.055196380242705345,0.05868353322148323,0.24031424522399902,-0.06686469912528992,0.05864935740828514,0.060372818261384964,0.42857142857142855,0.3333333333333333,0.05868353322148323,True,real-only
3,0.40535784512758255,0.05044605303555727,11.830393552780151,0.3333333333333333,0.03064735047519207,0.02787206694483757,0.16500960290431976,-0.08804979920387268,0.027789149433374405,0.028778832405805588,0.42857142857142855,0.3333333333333333,0.02787206694483757,True,real-only
4,0.3706725761294365,0.03160837525501847,11.302140235900879,0.3333333333333333,0.02084743231534958,0.016673266887664795,0.12665411829948425,-0.040216654539108276,0.016639066860079765,0.01749694161117077,0.42857142857142855,0.3333333333333333,0.016673266887664795,True,real-only
5,0.35184677690267563,0.02281217509880662,10.967820405960083,0.3333333333333333,0.015759536065161228,0.01123720221221447,0.10286609828472137,0.02350534126162529,0.011254088021814823,0.012077521532773972,0.42857142857142855,0.3333333333333333,0.01123720221221447,True,real-only
6,0.33728644996881485,0.018405258655548096,10.62937331199646,0.3333333333333333,0.012557345442473888,0.008050022646784782,0.08568155020475388,0.08428318798542023,0.008112174458801746,0.008915909565985203,0.42857142857142855,0.3333333333333333,0.008050022646784782,True,real-only
7,0.32813791930675507,0.01544052641838789,10.423246622085571,0.3333333333333333,0.010401193518191576,0.006058767903596163,0.07270225137472153,0.12082000076770782,0.006158656440675259,0.006960514932870865,0.42857142857142855,0.3333333333333333,0.006058767903596163,True,real-only
8,0.31572722643613815,0.013503498630598187,10.074124336242676,0.3333333333333333,0.008838627487421036,0.0047141811810433865,0.0622427873313427,0.12805920839309692,0.004845999646931887,0.005653679370880127,0.42857142857142855,0.3333333333333333,0.0047141811810433865,True,real-only
9,0.30789872258901596,0.012131839292123914,9.858896493911743,0.3333333333333333,0.007642823271453381,0.0037612617015838623,0.053417131304740906,0.11902610212564468,0.003921458963304758,0.0047437287867069244,0.42857142857142855,0.3333333333333333,0.0037612617015838623,True,real-only
10,0.29514892399311066,0.010952356038615108,9.47321891784668,0.3333333333333333,0.00673010409809649,0.00309457047842443,0.04606352001428604,0.10495574027299881,0.0032795954030007124,0.004118417389690876,0.42857142857142855,0.3333333333333333,0.00309457047842443,True,real-only
11,0.29002220928668976,0.010223216144368052,9.32663345336914,0.3333333333333333,0.006121954647824168,0.002625030465424061,0.03998778015375137,0.09947756677865982,0.0028316588141024113,0.003684059949591756,0.42857142857142855,0.3333333333333333,0.002625030465424061,True,real-only
