epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc,best_val_loss,is_best
1,1.0999718885573129,0.30158730158730157,1.1373947858810425,0.09523809523809523,0.09523809523809523,1.1373947858810425,True
2,1.048821108681815,0.3492063492063492,1.0755829811096191,0.2857142857142857,0.2857142857142857,1.0755829811096191,True
3,0.99628089912354,0.5079365079365079,1.016980528831482,0.38095238095238093,0.38095238095238093,1.016980528831482,True
4,0.9652666591462635,0.6349206349206349,0.9663227796554565,0.42857142857142855,0.42857142857142855,0.9663227796554565,True
5,0.9334928563662938,0.6190476190476191,0.9190934300422668,0.5238095238095238,0.5238095238095238,0.9190934300422668,True
6,0.8851773332035731,0.6507936507936508,0.8786886930465698,0.6190476190476191,0.6190476190476191,0.8786886930465698,True
7,0.8567526264796181,0.6666666666666666,0.8433440923690796,0.6190476190476191,0.6190476190476191,0.8433440923690796,True
8,0.8326675626966689,0.6666666666666666,0.81242835521698,0.6666666666666666,0.6666666666666666,0.81242835521698,True
9,0.8038484302778093,0.6349206349206349,0.7852336168289185,0.7142857142857143,0.7142857142857143,0.7852336168289185,True
10,0.7741946861857459,0.7301587301587301,0.7611376643180847,0.6666666666666666,0.7142857142857143,0.7852336168289185,False
11,0.7668851349088881,0.7142857142857143,0.73797607421875,0.6666666666666666,0.7142857142857143,0.7852336168289185,False
12,0.7482901187170119,0.6190476190476191,0.7166755795478821,0.6666666666666666,0.7142857142857143,0.7852336168289185,False
13,0.7305427732921782,0.6825396825396826,0.6963114738464355,0.6666666666666666,0.7142857142857143,0.7852336168289185,False
14,0.7087332691465106,0.746031746031746,0.6776639223098755,0.7142857142857143,0.7142857142857143,0.6776639223098755,True
15,0.6977486146820916,0.7142857142857143,0.6600550413131714,0.7619047619047619,0.7619047619047619,0.6600550413131714,True
16,0.6667384931019374,0.7301587301587301,0.644212007522583,0.8095238095238095,0.8095238095238095,0.644212007522583,True
17,0.6675637922589741,0.7619047619047619,0.6285344362258911,0.8571428571428571,0.8571428571428571,0.6285344362258911,True
18,0.6717188746210129,0.7142857142857143,0.6130759716033936,0.8571428571428571,0.8571428571428571,0.6130759716033936,True
19,0.635107453853365,0.7777777777777778,0.5977681875228882,0.9047619047619048,0.9047619047619048,0.5977681875228882,True
20,0.6371510180215987,0.7301587301587301,0.5837424397468567,0.9047619047619048,0.9047619047619048,0.5837424397468567,True
21,0.6110141603719621,0.746031746031746,0.5695546269416809,0.9523809523809523,0.9523809523809523,0.5695546269416809,True
22,0.6009977611284407,0.7301587301587301,0.5557655096054077,0.9523809523809523,0.9523809523809523,0.5557655096054077,True
23,0.5824408871786935,0.7619047619047619,0.5430405139923096,0.9523809523809523,0.9523809523809523,0.5430405139923096,True
24,0.5775208198834979,0.7777777777777778,0.5305874943733215,0.9523809523809523,0.9523809523809523,0.5305874943733215,True
25,0.5694994727770487,0.8095238095238095,0.5175663828849792,0.9523809523809523,0.9523809523809523,0.5175663828849792,True
26,0.5543224224968563,0.7936507936507936,0.505426287651062,0.9523809523809523,0.9523809523809523,0.505426287651062,True
27,0.5470787882804871,0.8253968253968254,0.4935024380683899,0.9523809523809523,0.9523809523809523,0.4935024380683899,True
