dataset,variant,n_case3_test,case3_mse,case3_mae,case3_pearson,case3_nonzero_mse,case3_degraded_mse,case3_degraded_acc,case3_recon_acc,case3_acc_gain,best_val_mse
dataset1,baseline,27,0.0017181866569444537,0.02309454046189785,0.9131811857223511,0.0017181866569444537,0.0017181866569444537,0.25925925925925924,0.7407407407407407,0.48148148148148145,0.0019759084098041058
dataset1,no_aux_cls,27,0.0007773509132675827,0.016369391232728958,0.9625714421272278,0.0007773509132675827,0.0007773509132675827,0.25925925925925924,0.4074074074074074,0.14814814814814814,0.0007011271663941443
dataset1,unweighted_recon,27,0.0017160049173980951,0.02277636155486107,0.913381814956665,0.0017160049173980951,0.0017160049173980951,0.25925925925925924,0.7407407407407407,0.48148148148148145,0.0020054171327501535
dataset2,baseline,24,0.001212333794683218,0.010301822796463966,0.5690025687217712,0.0015187113313004375,0.0014488151064142585,0.375,0.75,0.375,0.0002900475519709289
dataset2,no_aux_cls,24,0.004168373066931963,0.02378237247467041,0.6827791333198547,0.005140805616974831,0.004919037688523531,0.375,0.3333333333333333,-0.041666666666666685,0.0015881259460002184
dataset2,unweighted_recon,24,0.0013263875152915716,0.011076408438384533,0.5786018371582031,0.0016617511864751577,0.0015852286014705896,0.375,0.7083333333333334,0.33333333333333337,0.0002972400689031929
